lulc_id,lulc_description,usle_c,usle_p,notes,root_depth,Kc_1,Kc_2,Kc_3,Kc_4,Kc_5,Kc_6,Kc_7,Kc_8,Kc_9,Kc_10,Kc_11,Kc_12,CN_A,CN_B,CN_C,CN_D
1,Annual Crop,0.25,1,"top crops: rice (1) , maize (3)",2100,0.4,0.4,1.1,1.1,1.2,1,0.4,1.1,1.1,1.05,1.03,1,82,82,82,82
2,Brush/Shrubs,0.01,1,,2100,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,35,56,70,77
3,Built-up,1,0,"assuming paved so doesn't generate any sediment (hence p = 0), but doesn't hang onto anything either (hence c = 1)",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4,Closed Forest,0.0001,1,,5200,1,1,1,1,1,1,1,1,1,1,1,1,36,60,73,79
5,Fishpond,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
6,Grassland,0.05,1,,2100,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,35,56,70,77
7,Inland Water,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
8,Mangrove Forest,0.0001,1,,2100,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,98,98,98,98
9,Marshland/Swamp,0.0001,1,"since mangrove Kc is 10% higher than forest kc, making marshland Kc 10% higher than herbaceous kc",2100,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,98,98,98,98
10,Open Forest,0.001,1,,3700,1,1,1,1,1,1,1,1,1,1,1,1,43,65,76,82
11,Open/Barren,0.5,1,root_depth halfway between bare/water and herbaceous,1000,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
12,Perennial Crop,0.15,1,top crops: coconut (2); root depth halfway between open forest and herbaceous; Kc halfway between forest and herbaceous,3000,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,36,60,73,79
